number,html_url,title,user,original labels,state,created_at,added labels,priority low-high
2489,https://github.com/CSSEGISandData/COVID-19/issues/2489,Zimbabwean data inconsistency in the confirmed time series data,https://github.com/bnsmith3,[],open,2020-05-08 01:47:48+00:00,data issue,
2488,https://github.com/CSSEGISandData/COVID-19/pull/2488,Add us recoveries time_series file,https://github.com/MatthewJacobs1204,[],open,2020-05-07 14:43:32+00:00,enhancement data,
2487,https://github.com/CSSEGISandData/COVID-19/issues/2487,Illinois Missing Hospitalized Numbers,https://github.com/ajmatsil15,[],open,2020-05-07 13:39:53+00:00,data issue,
2486,https://github.com/CSSEGISandData/COVID-19/issues/2486,Decrease in Confirmed Cases for Two Counties in Vermont,https://github.com/justkenney,[],open,2020-05-07 12:33:56+00:00,data issue,
2485,https://github.com/CSSEGISandData/COVID-19/issues/2485,"All Counties | Rhode Island | US:  Same Infections for 5/6, 5/5 and 5/4/2020",https://github.com/rahmatiangit,[],open,2020-05-07 05:24:06+00:00,data issue,
2482,https://github.com/CSSEGISandData/COVID-19/issues/2482,Are you going to produce a time series for us data?,https://github.com/downFast,[],open,2020-05-06 15:20:08+00:00,"data issue, enhancement data",
2481,https://github.com/CSSEGISandData/COVID-19/pull/2481,Update time_series_covid19_deaths_global.csv,https://github.com/ThEls-1847,[],open,2020-05-06 06:43:11+00:00,data issue,
2480,https://github.com/CSSEGISandData/COVID-19/issues/2480,"Fergus, Montana decreased in Confirmed cases 5/5",https://github.com/gsjennings,[],open,2020-05-06 04:03:42+00:00,data issue,
2478,https://github.com/CSSEGISandData/COVID-19/issues/2478,"csse_covid_19_daily_reports.csv missing data for Nova Scotia, Canada for several dates",https://github.com/nmoton,[],open,2020-05-05 02:48:19+00:00,data issue,
2477,https://github.com/CSSEGISandData/COVID-19/pull/2477,Update time_series_covid19_recovered_global.csv,https://github.com/ThEls-1847,[],open,2020-05-04 18:21:02+00:00,"data issue, enhancement data",
2476,https://github.com/CSSEGISandData/COVID-19/pull/2476,Update time_series_covid19_confirmed_global.csv,https://github.com/ThEls-1847,[],open,2020-05-04 18:09:22+00:00,"data issue, enhancement data",
2475,https://github.com/CSSEGISandData/COVID-19/issues/2475,Data missing for most colonial territories in Africa,https://github.com/kaldari,[],open,2020-05-04 18:07:35+00:00,data issue,
2474,https://github.com/CSSEGISandData/COVID-19/issues/2474,Hospitalizations in Connecticut incorrect (in `csse_covid_19_daily_reports_us` files),https://github.com/wadefagen,[],open,2020-05-04 18:05:20+00:00,data issue,
2473,https://github.com/CSSEGISandData/COVID-19/pull/2473,Update time_series_covid19_deaths_global.csv,https://github.com/ThEls-1847,[],open,2020-05-04 13:25:48+00:00,"data issue, enhancement data",
2471,https://github.com/CSSEGISandData/COVID-19/issues/2471,All Counties | Connecticut | US | : Same Stats for 5/3 and 5/2,https://github.com/rahmatiangit,[],open,2020-05-04 06:12:50+00:00,data issue,
2470,https://github.com/CSSEGISandData/COVID-19/issues/2470,WHO COVID-19 Situation report updates,https://github.com/kohint,[],open,2020-05-04 05:25:43+00:00,question ,low
2469,https://github.com/CSSEGISandData/COVID-19/pull/2469,Make Lat and Long_ values consistent for all US state data,https://github.com/lorint,[],open,2020-05-04 00:07:13+00:00,"data issue, enhancement data",
2468,https://github.com/CSSEGISandData/COVID-19/pull/2468,Typo in lincoln county deaths,https://github.com/ElijahCano33,[],open,2020-05-04 00:05:15+00:00,"data issue, enhancement data",
2466,https://github.com/CSSEGISandData/COVID-19/issues/2466,Typo Lincoln County Missouri Deaths,https://github.com/hwallMO,[],open,2020-05-03 15:39:10+00:00,duplicate,
2465,https://github.com/CSSEGISandData/COVID-19/pull/2465,Anomalous cells identified and marked by (ANOMALY),https://github.com/trinade,[],open,2020-05-03 15:33:15+00:00,"data issue, data enhancement",high
2463,https://github.com/CSSEGISandData/COVID-19/issues/2463,United Kingdom Data,https://github.com/saccpp,[],open,2020-05-03 14:09:06+00:00,data issue,
2461,https://github.com/CSSEGISandData/COVID-19/issues/2461,"Philadelphia | Pennsylvania | US | -  Same infection# of 15,137 for three days -  5/3, 5/2, 5/1",https://github.com/rahmatiangit,[],open,2020-05-03 04:46:03+00:00,data issue,
2459,https://github.com/CSSEGISandData/COVID-19/issues/2459,Clarity on French Data,https://github.com/CSSEGISandData,['Announcement'],open,2020-05-02 13:26:04+00:00,,
2458,https://github.com/CSSEGISandData/COVID-19/issues/2458,Negative delta on Maryland death toll (time series and daily reports),https://github.com/headedhorseman101,[],open,2020-05-02 07:00:49+00:00,data issue,
2457,https://github.com/CSSEGISandData/COVID-19/issues/2457,New Confirmations for Spain and France comparing 04/30 and 05/01 Daily Reports,https://github.com/maisonml,[],open,2020-05-02 04:22:44+00:00,data issue,
2456,https://github.com/CSSEGISandData/COVID-19/issues/2456,Recovered Cases U.S. Show 30K+ in One Day,https://github.com/jpblasini,[],open,2020-05-02 01:38:01+00:00,should be closed,
2454,https://github.com/CSSEGISandData/COVID-19/issues/2454,Negative delta / corruption in confirmed case graph on dashboard,https://github.com/ffwd-txnx,['bug'],open,2020-05-01 19:56:02+00:00,,
2452,https://github.com/CSSEGISandData/COVID-19/issues/2452,Inconsistency in time_series_covid19_confirmed_US.csv,https://github.com/c1au6i0,['bug'],open,2020-05-01 16:27:07+00:00,,
2451,https://github.com/CSSEGISandData/COVID-19/issues/2451,Implied Recoveries for Luxembourg Has Error,https://github.com/pabloaperezfernandez,[],open,2020-05-01 14:28:04+00:00,data issue,
2443,https://github.com/CSSEGISandData/COVID-19/issues/2443,Data in JSON format?,https://github.com/jones-philip,[],open,2020-04-30 09:12:11+00:00,should be closed,
2442,https://github.com/CSSEGISandData/COVID-19/issues/2442,Negative new cases for France and Japan,https://github.com/syurian,[],open,2020-04-30 04:47:45+00:00,data issue,
2441,https://github.com/CSSEGISandData/COVID-19/issues/2441,People_Hospitalized missing for many states in csse_covid_19_daily_reports_us/04-29-2020.csv,https://github.com/maisonml,[],open,2020-04-30 04:22:26+00:00,data issue,
2440,https://github.com/CSSEGISandData/COVID-19/issues/2440,Inconsistent spacing in US time series Combined_Key column,https://github.com/caleb-lindgren,[],open,2020-04-30 00:32:46+00:00,data issue,
2437,https://github.com/CSSEGISandData/COVID-19/issues/2437,recovered,https://github.com/rwkincaid,[],open,2020-04-29 17:27:26+00:00,data issue,
2435,https://github.com/CSSEGISandData/COVID-19/issues/2435,"JHU - Please make it clear whether you want our help, or not",https://github.com/lojic,[],open,2020-04-29 15:46:13+00:00,"question, complaints about JHU",
2434,https://github.com/CSSEGISandData/COVID-19/issues/2434,"April 27: Incorrect amount of total cases for Ontario, Canada and Japan",https://github.com/jaaanko,[],open,2020-04-29 13:14:54+00:00,data issue,
2433,https://github.com/CSSEGISandData/COVID-19/issues/2433,Multiple updates for same county on same date,https://github.com/anushabhide,[],open,2020-04-29 11:41:38+00:00,should be closed,
2432,https://github.com/CSSEGISandData/COVID-19/issues/2432,Missing data in time_series_covid19_recovered_global (UK),https://github.com/ossimoro666,[],open,2020-04-29 10:35:35+00:00,data issue,
2431,https://github.com/CSSEGISandData/COVID-19/issues/2431,Daily reports: Japan confirmed cases has dropped,https://github.com/mbahram,[],open,2020-04-29 04:06:04+00:00,data issue,
2430,https://github.com/CSSEGISandData/COVID-19/issues/2430,Data Series misaligned using following days data/LastUpdated,https://github.com/ladris,[],open,2020-04-29 01:25:57+00:00,"data issue, invalid",
2428,https://github.com/CSSEGISandData/COVID-19/issues/2428,CSV files confirmed cases do not match dashboard,https://github.com/wadetj,[],open,2020-04-28 23:59:21+00:00,should be closed,
2427,https://github.com/CSSEGISandData/COVID-19/issues/2427,"Hubei China April 27 and 28, double count and no count",https://github.com/FourEyedBookWorm,[],open,2020-04-28 23:53:26+00:00,data issue,
2426,https://github.com/CSSEGISandData/COVID-19/pull/2426,Cssegi sand data patch 02042020,https://github.com/ethanb42,[],open,2020-04-28 23:22:30+00:00,???,
2425,https://github.com/CSSEGISandData/COVID-19/issues/2425,How is ICD-10 data ingested into this data set?,https://github.com/Curious425,[],open,2020-04-28 16:44:26+00:00,question,
2424,https://github.com/CSSEGISandData/COVID-19/issues/2424,"Error reporting COVID Deaths - Ontario, Canada. April 27 2020",https://github.com/PerryRPeterson,[],open,2020-04-28 14:36:02+00:00,data issue,
2423,https://github.com/CSSEGISandData/COVID-19/issues/2423,"Apr 27: Reported cases incorrect for Granville, NC",https://github.com/lojic,[],open,2020-04-28 13:27:07+00:00,data issue,
2421,https://github.com/CSSEGISandData/COVID-19/issues/2421,"Apr 27: Deaths for Lincoln, Missouri are incorrect",https://github.com/lojic,[],open,2020-04-28 12:54:06+00:00,data issue,
2420,https://github.com/CSSEGISandData/COVID-19/issues/2420,More errors in recovered data from Spain (solved?),https://github.com/capahaddock,[],open,2020-04-28 10:46:37+00:00,data issue,
2417,https://github.com/CSSEGISandData/COVID-19/issues/2417,Don't trust JHU data any more - there are better sources.,https://github.com/traut21,[],open,2020-04-28 05:16:06+00:00,"question, complaints about JHU",
